Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mRNA splicing, via spliceosome (GO:0000398)	17/274	2.868769916086929E-7	4.153669325200506E-4	0	0	4.9718161741508045	74.89649443223898	SF3A3;AQR;NONO;METTL3;CPSF2;CELF4;DDX42;CDC5L;LSM2;POLR2B;FRG1;SRSF3;MTREX;SNRNP200;SF3B1;SNRPA;POLR2K
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	16/251	4.497746968273423E-7	4.153669325200506E-4	0	0	5.103502454991816	74.58523386692895	SF3A3;AQR;NONO;METTL3;CPSF2;DDX42;CDC5L;LSM2;POLR2B;FRG1;SRSF3;MTREX;SNRNP200;SF3B1;SNRPA;POLR2K
mRNA processing (GO:0006397)	16/300	4.629931191656946E-6	0.0028504943036634593	0	0	4.212351029252438	51.74017521972194	SF3A3;AQR;NONO;METTL3;CPSF2;DDX42;CDC5L;LSM2;POLR2B;FRG1;SRSF3;MTREX;SNRNP200;SF3B1;SNRPA;POLR2K
regulation of gene silencing by RNA (GO:0060966)	6/55	1.0753796362132971E-4	0.03972452376171919	0	0	8.922902494331066	81.53450830071112	NUP205;POLR2B;NUP43;NUP153;POLR2K;PUM2
regulation of posttranscriptional gene silencing (GO:0060147)	6/55	1.0753796362132971E-4	0.03972452376171919	0	0	8.922902494331066	81.53450830071112	NUP205;POLR2B;NUP43;NUP153;POLR2K;PUM2
regulation of gene silencing by miRNA (GO:0060964)	6/67	3.224626950051069E-4	0.0890573765722679	0	0	7.163205828779599	57.58875875074292	NUP205;POLR2B;NUP43;NUP153;POLR2K;PUM2
mRNA catabolic process (GO:0006402)	5/44	3.375211889582433E-4	0.0890573765722679	0	0	9.3126123568928	74.44392678408934	NBAS;METTL3;XRN2;RC3H1;LSM2
spliceosomal complex assembly (GO:0000245)	5/46	4.1656192404201275E-4	0.09617373421319969	0	0	8.857438574385744	68.94165551856517	SF3A3;CELF4;NOL3;SNRNP200;SF3B1
nucleotide-excision repair (GO:0006289)	7/105	6.358484685493829E-4	0.13049023571230114	0	0	5.211364843335104	38.35851295684283	RFC5;AQR;POLR2B;HUS1;LIG3;RNF111;POLR2K
regulation of ATP metabolic process (GO:1903578)	5/56	0.0010378084341870627	0.19168321779435046	0	0	7.117068229505825	48.89884258468308	NUP205;SPHK2;NUP43;NUP153;OGT
protein deubiquitination (GO:0016579)	11/267	0.001265377235866822	0.19613515154372918	0	0	3.1566627358490567	21.062469060603085	ENY2;VCP;PSMB5;USP38;PSMB2;PSMC1;ZC3H12A;INO80;MAP3K7;STAM2;OGT
negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	3/16	0.0012742944334189227	0.19613515154372918	0	0	16.661876584953507	111.0574496866414	OAS1;METTL3;TTLL12
gene expression (GO:0010467)	13/356	0.0014195409128807874	0.20168400508390877	0	0	2.792991830083473	18.314825403292886	NUP205;CPSF2;MRPS21;NUP153;MRPL43;SARS1;RRAGC;POLR2B;XRN2;EPC1;SRSF3;NUP43;POLR2K
protein phosphorylation (GO:0006468)	16/496	0.0015334918444226129	0.2023113883320404	0	0	2.467179487179487	15.987835985530158	PRRT1;MAP4K1;CCNT1;EIF2AK1;PLK2;RUNX3;PKD1;MAPK12;TBCK;ILF3;FER;ADM2;DGKQ;CDK12;PAK2;MAP3K7
negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)	2/5	0.0018460901491804908	0.21602790833383062	0	0	47.982968369829685	302.0376860902479	RC3H1;RUNX3
transcription elongation from RNA polymerase II promoter (GO:0006368)	5/67	0.002320719263068514	0.21602790833383062	0	0	5.851089156052851	35.49199365574501	CCNT1;POLR2B;CDK12;CDC73;POLR2K
RNA splicing (GO:0008380)	6/98	0.0023855101529688346	0.21602790833383062	0	0	4.742028985507246	28.633994101470982	SF3A3;RRAGC;NONO;CDK12;NOL3;SF3B1
regulation of viral transcription (GO:0046782)	4/41	0.002405387608524596	0.21602790833383062	0	0	7.824721780604134	47.18341835112934	CCNT1;POLR2B;LARP7;POLR2K
RNA metabolic process (GO:0016070)	7/133	0.002510320692688845	0.21602790833383062	0	0	4.0475010326311445	24.233784131151463	POLR2B;ZC3H12A;METTL3;XRN2;MTREX;LAGE3;POLR2K
nucleic acid-templated transcription (GO:0097659)	4/42	0.002630125612182533	0.21602790833383062	0	0	7.618421052631579	45.258934295559655	RRAGC;POLR2B;EPC1;POLR2K
DNA-templated transcription, elongation (GO:0006354)	5/69	0.002641109132679836	0.21602790833383062	0	0	5.667666051660516	33.64641874151532	CCNT1;POLR2B;CDK12;CDC73;POLR2K
regulation of carbohydrate catabolic process (GO:0043470)	4/43	0.002868852776326446	0.21602790833383062	0	0	7.422699849170438	43.45131998833598	NUP205;NUP43;NUP153;OGT
regulation of purine nucleotide metabolic process (GO:1900542)	4/43	0.002868852776326446	0.21602790833383062	0	0	7.422699849170438	43.45131998833598	NUP205;NUP43;NUP153;OGT
positive regulation of GTPase activity (GO:0043547)	9/214	0.0029946435001272347	0.21602790833383062	0	0	3.2094820498766787	18.650075804672163	NET1;TBCK;DOCK7;ARHGEF16;TBC1D10C;SNX13;CCR7;MMUT;RAB3GAP1
protein localization to cell junction (GO:1902414)	3/22	0.0032965790354822014	0.21602790833383062	0	0	11.396761133603238	65.13100834659045	NLGN2;PAK2;TJP3
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	5/73	0.003376212089437877	0.21602790833383062	0	0	5.333188626003907	30.351181171905456	PSMB5;PSMB2;PSMC1;HLA-C;VAMP3
