Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA degradation	7/79	1.0970688337491254E-4	0.021063721607983206	0	0	7.102643535729038	64.7597619238557	PAN3;CNOT2;XRN2;MTREX;ENO2;PFKP;LSM2
Spliceosome	9/150	2.428818921588913E-4	0.023316661647253566	0	0	4.681568252450394	38.96438954257823	SF3A3;AQR;DDX42;SRSF3;CDC5L;SNRNP200;SF3B1;SNRPA;LSM2
Glyoxylate and dicarboxylate metabolism	3/30	0.008014081447539801	0.5129012126425473	0	0	8.016687016687017	38.692981634858654	PGP;MMUT;AGXT
Amyotrophic lateral sclerosis	11/364	0.012678019016278264	0.5488198951218478	0	0	2.2778448874873054	9.949365817437867	NUP205;COX7B;VCP;PSMB5;PSMB2;PSMC1;SRSF3;NUP153;NUP43;SDHD;MAPK12
Alanine, aspartate and glutamate metabolism	3/37	0.01429218476879812	0.5488198951218478	0	0	6.363930187459599	27.03424533555271	ADSS2;AGXT;NAT8L
Epstein-Barr virus infection	7/202	0.022383417129107085	0.6997996303617504	0	0	2.6061004670670096	9.901709070138354	OAS1;PSMC1;HLA-C;ITGAL;RUNX3;MAP3K7;MAPK12
Proteasome	3/46	0.025513528190272153	0.6997996303617504	0	0	5.02964477383082	18.451485480938405	PSMB5;PSMB2;PSMC1
Viral myocarditis	3/60	0.05004463116794681	0.8838195775645369	0	0	3.791594370541739	11.355218667983046	PRF1;HLA-C;ITGAL
Ribosome biogenesis in eukaryotes	4/108	0.06262854432487484	0.8838195775645369	0	0	2.7743212669683257	7.686351744327875	UTP6;XRN2;RPP25;UTP18
RNA polymerase	2/31	0.06790928651846588	0.8838195775645369	0	0	4.957211175434181	13.33282835780552	POLR2B;POLR2K
RIG-I-like receptor signaling pathway	3/70	0.07254788996955353	0.8838195775645369	0	0	3.2240446121043136	8.458308069875928	MAP3K7;ATG12;MAPK12
Leukocyte transendothelial migration	4/114	0.07327447190489703	0.8838195775645369	0	0	2.622192513368984	6.8532128865017805	MYL5;ITGAL;MYL12A;MAPK12
Allograft rejection	2/38	0.09650868546233124	0.8838195775645369	0	0	3.991889699918897	9.333526206350381	PRF1;HLA-C
Riboflavin metabolism	1/8	0.10522955036185379	0.8838195775645369	0	0	10.242597402597402	23.062346221118663	ACP5
NOD-like receptor signaling pathway	5/181	0.10621213903568745	0.8838195775645369	0	0	2.0492284468299227	4.595019523304441	OAS1;SUGT1;MAP3K7;ATG12;MAPK12
Graft-versus-host disease	2/42	0.1141214640600003	0.8838195775645369	0	0	3.591970802919708	7.796343617515115	PRF1;HLA-C
Type I diabetes mellitus	2/43	0.11864574820372441	0.8838195775645369	0	0	3.5041837279686665	7.469564049794317	PRF1;HLA-C
Autophagy	4/137	0.12171993044774378	0.8838195775645369	0	0	2.166187527642636	4.562061389256313	IGBP1;RRAGC;MAP3K7;ATG12
Shigellosis	6/246	0.1261255000088214	0.8838195775645369	0	0	1.8040740740740742	3.7352953847375954	MYL5;RRAGC;MAP3K7;ATG12;MYL12A;MAPK12
Parkinson disease	6/249	0.1313964459466068	0.8838195775645369	0	0	1.7815272062185643	3.6156739935178583	COX7B;PSMB5;TH;PSMB2;PSMC1;SDHD
Huntington disease	7/306	0.1321274068011635	0.8838195775645369	0	0	1.6905795029279755	3.421713673213662	COX7B;PSMB5;PSMB2;POLR2B;PSMC1;SDHD;POLR2K
Th1 and Th2 cell differentiation	3/92	0.1343971494196646	0.8838195775645369	0	0	2.424373379429559	4.865610847471678	RUNX3;DLL1;MAPK12
Spinocerebellar ataxia	4/143	0.13616526973959608	0.8838195775645369	0	0	2.072048243757935	4.131427802945026	PSMB5;PSMB2;PSMC1;PUM2
Other types of O-glycan biosynthesis	2/47	0.1371637085916425	0.8838195775645369	0	0	3.1920519059205192	6.3412668369827365	RFNG;OGT
Rheumatoid arthritis	3/93	0.1375468663227309	0.8838195775645369	0	0	2.3973137973137972	4.755768513951691	ACP5;ITGAL;ATP6V1B1
Cell adhesion molecules	4/148	0.14870707750273957	0.8838195775645369	0	0	1.9995915032679739	3.810775157992086	NLGN2;HLA-C;CDH15;ITGAL
Malaria	2/50	0.1514388032385622	0.8838195775645369	0	0	2.9920924574209247	5.647794954768845	ACKR1;ITGAL
Phagosome	4/152	0.1590489021822001	0.8838195775645369	0	0	1.9451510333863276	3.5762449117961874	MARCO;HLA-C;ATP6V1B1;VAMP3
Viral protein interaction with cytokine and cytokine receptor	3/100	0.1602663457235971	0.8838195775645369	0	0	2.2235187492919453	4.071080917187088	CCL4L2;TNFRSF14;CCR7
Autoimmune thyroid disease	2/53	0.16598986269533558	0.8838195775645369	0	0	2.8156576499212824	5.05643842457437	PRF1;HLA-C
Protein digestion and absorption	3/103	0.17033282079178197	0.8838195775645369	0	0	2.1564835164835165	3.8169779515495588	COL16A1;COL27A1;COL5A1
T cell receptor signaling pathway	3/104	0.17372825863767313	0.8838195775645369	0	0	2.135023392449135	3.7368523038445183	MAP3K7;PAK2;MAPK12
Toll-like receptor signaling pathway	3/104	0.17372825863767313	0.8838195775645369	0	0	2.135023392449135	3.7368523038445183	CCL4L2;MAP3K7;MAPK12
Prion disease	6/273	0.17713425154875814	0.8838195775645369	0	0	1.6193924261339991	2.8029210903316106	COX7B;PSMB5;PSMB2;PSMC1;SDHD;MAPK12
Legionellosis	2/57	0.18574135162512181	0.8838195775645369	0	0	2.610351692103517	4.394266444884643	VCP;SAR1B
VEGF signaling pathway	2/59	0.1957387575060159	0.8838195775645369	0	0	2.518504289921885	4.107615969458303	SPHK2;MAPK12
Notch signaling pathway	2/59	0.1957387575060159	0.8838195775645369	0	0	2.518504289921885	4.107615969458303	RFNG;DLL1
Wnt signaling pathway	4/166	0.19716265179329784	0.8838195775645369	0	0	1.7757806826434277	2.883381703820126	WNT6;SIAH1;MAP3K7;NKD2
Toxoplasmosis	3/112	0.20153368404701277	0.8838195775645369	0	0	1.9775178949490877	3.1675856825021853	ALOX5;MAP3K7;MAPK12
Protein processing in endoplasmic reticulum	4/171	0.21140430573938485	0.8838195775645369	0	0	1.7221733004579076	2.67622775300345	VCP;SAR1B;EIF2AK1;UBXN4
Cytosolic DNA-sensing pathway	2/63	0.2159187660813559	0.8838195775645369	0	0	2.352877826971401	3.6066158945087476	CCL4L2;POLR2K
Aminoacyl-tRNA biosynthesis	2/66	0.23117368134043678	0.8838195775645369	0	0	2.2422445255474455	3.2839599041366085	RARS2;SARS1
Glycosaminoglycan degradation	1/19	0.23213790498460612	0.8838195775645369	0	0	3.981010101010101	5.813961365603194	IDUA
Glycolysis / Gluconeogenesis	2/67	0.2362748058400903	0.8838195775645369	0	0	2.207636159460977	3.185088526966315	ENO2;PFKP
Fc epsilon RI signaling pathway	2/68	0.24138203742900358	0.8838195775645369	0	0	2.1740765317407655	3.090176689060484	ALOX5;MAPK12
Platelet activation	3/124	0.24494631910770875	0.8838195775645369	0	0	1.7803105984924166	2.5043917565971476	P2RX1;MYL12A;MAPK12
