Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA binding (GO:0003723)	42/1406	1.762883928046475E-6	5.182878748456637E-4	0	0	2.415971125648545	32.00813719506698	VCP;DDX42;CELF4;MRPS30;NOL3;POLR2B;ZC3H12A;MTREX;SF3B1;SF3A3;RARS2;AQR;UTP6;PTCD2;SECISBP2;NONO;METTL3;CPSF2;RC3H1;LARP7;MRPS21;CDC5L;UTP18;MRPL43;ANKHD1;PUM2;LSM2;ILF3;SARS1;OAS1;FUBP1;PSMC1;XRN2;FRG1;PTRH1;SRSF3;NOL10;FAM98A;RPP25;SNRNP200;SNRPA;R3HDM2
GTPase binding (GO:0051020)	11/201	1.1512409940662764E-4	0.016923242612774263	0	0	4.267606752730884	38.70505895808177	RRAGC;SPHK2;NOXA1;DOCK7;ARHGEF16;BICDL1;RADIL;PAK2;RAB3GAP1;LSM2;STRN3
small GTPase binding (GO:0031267)	9/175	7.482537475311037E-4	0.07332886725804816	0	0	3.971436307025856	28.585478764640474	SPHK2;NOXA1;DOCK7;ARHGEF16;BICDL1;PAK2;RAB3GAP1;LSM2;STRN3
snRNA binding (GO:0017069)	4/43	0.002868852776326446	0.21086067905999378	0	0	7.422699849170438	43.45131998833598	CCNT1;LARP7;SNRPA;LSM2
7SK snRNA binding (GO:0097322)	2/8	0.0050293449151893425	0.258521677784976	0	0	23.987834549878347	126.95478770808306	CCNT1;LARP7
mRNA 3'-UTR binding (GO:0003730)	5/85	0.006453950308152014	0.258521677784976	0	0	4.530442804428044	22.847307958582892	ILF3;SECISBP2;ZC3H12A;RC3H1;PUM2
miRNA binding (GO:0035198)	3/30	0.008014081447539801	0.258521677784976	0	0	8.016687016687017	38.692981634858654	ZC3H12A;RC3H1;PUM2
mRNA binding (GO:0003729)	9/263	0.01110279637042629	0.258521677784976	0	0	2.583827302486066	11.628665352873131	AQR;SECISBP2;FUBP1;ZC3H12A;METTL3;CELF4;RC3H1;SF3B1;PUM2
3'-5'-exoribonuclease activity (GO:0000175)	3/34	0.011344519635680598	0.258521677784976	0	0	6.9808578518255935	31.26740544788104	PAN3;CNOT2;XRN2
RNA stem-loop binding (GO:0035613)	2/12	0.01143123065035608	0.258521677784976	0	0	14.38978102189781	64.34255519332496	ZC3H12A;RC3H1
mRNA methyltransferase activity (GO:0008174)	2/12	0.01143123065035608	0.258521677784976	0	0	14.38978102189781	64.34255519332496	METTL3;TRMT61A
dynactin binding (GO:0034452)	2/12	0.01143123065035608	0.258521677784976	0	0	14.38978102189781	64.34255519332496	BICDL1;SNX5
poly(A)-specific ribonuclease activity (GO:0004535)	2/12	0.01143123065035608	0.258521677784976	0	0	14.38978102189781	64.34255519332496	PAN3;CNOT2
U6 snRNA binding (GO:0017070)	2/14	0.015478014080413053	0.3250382956886741	0	0	11.990267639902676	49.979448766763525	LARP7;LSM2
regulatory RNA binding (GO:0061980)	3/40	0.01763380899644585	0.3456226563303387	0	0	5.847044847044847	23.610000213258708	ZC3H12A;RC3H1;PUM2
RNA polymerase binding (GO:0070063)	2/18	0.025099750708525537	0.4213656231104504	0	0	8.99087591240876	33.130454957103375	CCNT1;STOM
protein tyrosine kinase activator activity (GO:0030296)	2/19	0.027801072768185855	0.4213656231104504	0	0	8.461571489909833	30.31510861680807	DGKQ;PAK2
N-acetyltransferase activity (GO:0008080)	2/21	0.03353308176903689	0.4213656231104504	0	0	7.57011140991164	25.702214947784608	NAT8L;NAA80
syntaxin-1 binding (GO:0017075)	2/22	0.03655673792829779	0.4213656231104504	0	0	7.191240875912409	23.795023307023865	SNAP25;VAMP3
mRNA 3'-UTR AU-rich region binding (GO:0035925)	2/22	0.03655673792829779	0.4213656231104504	0	0	7.191240875912409	23.795023307023865	ILF3;ZC3H12A
peptidase activator activity (GO:0016504)	2/22	0.03655673792829779	0.4213656231104504	0	0	7.191240875912409	23.795023307023865	VCP;CLPX
C-C chemokine binding (GO:0019957)	2/24	0.04290234053832627	0.4213656231104504	0	0	6.536828135368282	20.58335332432056	CCR7;ACKR1
protein phosphatase 2A binding (GO:0051721)	2/24	0.04290234053832627	0.4213656231104504	0	0	6.536828135368282	20.58335332432056	IGBP1;STRN3
wide pore channel activity (GO:0022829)	2/25	0.046217701479042674	0.4213656231104504	0	0	6.252300856870835	19.22202627051588	PANX2;PRF1
sphingosine-1-phosphate receptor activity (GO:0038036)	1/5	0.06712796002019981	0.4213656231104504	0	0	17.927272727272726	48.42433573036915	SPHK2
anion:sodium symporter activity (GO:0015373)	1/5	0.06712796002019981	0.4213656231104504	0	0	17.927272727272726	48.42433573036915	SLC13A4
lipid kinase activity (GO:0001727)	1/5	0.06712796002019981	0.4213656231104504	0	0	17.927272727272726	48.42433573036915	SPHK2
chromatin insulator sequence binding (GO:0043035)	1/5	0.06712796002019981	0.4213656231104504	0	0	17.927272727272726	48.42433573036915	CTCF
nucleotide phosphatase activity, acting on free nucleotides (GO:0098519)	1/5	0.06712796002019981	0.4213656231104504	0	0	17.927272727272726	48.42433573036915	PGP
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen (GO:0016714)	1/5	0.06712796002019981	0.4213656231104504	0	0	17.927272727272726	48.42433573036915	TH
phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629)	1/5	0.06712796002019981	0.4213656231104504	0	0	17.927272727272726	48.42433573036915	MTMR1
FATZ binding (GO:0051373)	1/5	0.06712796002019981	0.4213656231104504	0	0	17.927272727272726	48.42433573036915	MYOZ3
fructose transmembrane transporter activity (GO:0005353)	1/5	0.06712796002019981	0.4213656231104504	0	0	17.927272727272726	48.42433573036915	SLC2A5
histone methyltransferase activity (GO:0042054)	2/32	0.07179692276051382	0.4213656231104504	0	0	4.791727493917275	12.620996512415322	SMYD2;TTLL12
RNA polymerase II complex binding (GO:0000993)	2/32	0.07179692276051382	0.4213656231104504	0	0	4.791727493917275	12.620996512415322	SMYD2;CDC73
acetyltransferase activity (GO:0016407)	2/32	0.07179692276051382	0.4213656231104504	0	0	4.791727493917275	12.620996512415322	NAT8L;NAA80
chemokine binding (GO:0019956)	2/32	0.07179692276051382	0.4213656231104504	0	0	4.791727493917275	12.620996512415322	CCR7;ACKR1
transcription regulatory region nucleic acid binding (GO:0001067)	6/212	0.07416357475728377	0.4213656231104504	0	0	2.1055016181229775	5.477424888089184	GABPB2;MTERF3;NONO;ZNF217;CTCF;TAF2
RNA polymerase core enzyme binding (GO:0043175)	2/33	0.07575490012051539	0.4213656231104504	0	0	4.636920178949847	11.964423254739037	SMYD2;CDC73
basal RNA polymerase II transcription machinery binding (GO:0001099)	2/33	0.07575490012051539	0.4213656231104504	0	0	4.636920178949847	11.964423254739037	SMYD2;CDC73
transcription cis-regulatory region binding (GO:0000976)	12/549	0.07946292745420623	0.4213656231104504	0	0	1.6240900626375487	4.1129507328099	NPAS4;GABPB2;MTERF3;NONO;ZNF517;XRN2;ZBTB10;ZNF217;CDC5L;CTCF;RUNX3;TAF2
acid phosphatase activity (GO:0003993)	1/6	0.08000478854646083	0.4213656231104504	0	0	14.341090909090909	36.220845713158056	ACP5
long-chain fatty acyl-CoA binding (GO:0036042)	1/6	0.08000478854646083	0.4213656231104504	0	0	14.341090909090909	36.220845713158056	ACOT11
uridylyltransferase activity (GO:0070569)	1/6	0.08000478854646083	0.4213656231104504	0	0	14.341090909090909	36.220845713158056	UAP1L1
chitinase activity (GO:0004568)	1/6	0.08000478854646083	0.4213656231104504	0	0	14.341090909090909	36.220845713158056	CHI3L2
nucleosomal histone binding (GO:0031493)	1/6	0.08000478854646083	0.4213656231104504	0	0	14.341090909090909	36.220845713158056	SPHK2
cobalamin binding (GO:0031419)	1/6	0.08000478854646083	0.4213656231104504	0	0	14.341090909090909	36.220845713158056	MMUT
fructose binding (GO:0070061)	1/6	0.08000478854646083	0.4213656231104504	0	0	14.341090909090909	36.220845713158056	SLC2A5
gap junction hemi-channel activity (GO:0055077)	1/6	0.08000478854646083	0.4213656231104504	0	0	14.341090909090909	36.220845713158056	PANX2
double-stranded RNA binding (GO:0003725)	3/73	0.0800426824343233	0.4213656231104504	0	0	3.0854003139717427	7.791238236183585	ILF3;OAS1;RC3H1
protein-lysine N-methyltransferase activity (GO:0016279)	2/35	0.08387127691611575	0.4213656231104504	0	0	4.355452333554523	10.794866974681243	SMYD2;TTLL12
ATP binding (GO:0005524)	7/278	0.09144534997632568	0.4213656231104504	0	0	1.867940575316534	4.468139546232582	MAP4K1;TBCK;OAS1;MTREX;RUNX3;CLPX;PFKP
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	2/37	0.09223780434397545	0.4213656231104504	0	0	4.106152241918665	9.786542511219732	IDUA;CHI3L2
leucine binding (GO:0070728)	1/7	0.0927045097870444	0.4213656231104504	0	0	11.950303030303031	28.421861700537306	UBR2
telethonin binding (GO:0031433)	1/7	0.0927045097870444	0.4213656231104504	0	0	11.950303030303031	28.421861700537306	MYOZ3
transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	1/7	0.0927045097870444	0.4213656231104504	0	0	11.950303030303031	28.421861700537306	DGKQ
myosin heavy chain binding (GO:0032036)	1/7	0.0927045097870444	0.4213656231104504	0	0	11.950303030303031	28.421861700537306	NKD2
nucleotide receptor activity (GO:0016502)	1/7	0.0927045097870444	0.4213656231104504	0	0	11.950303030303031	28.421861700537306	P2RX1
phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018)	1/7	0.0927045097870444	0.4213656231104504	0	0	11.950303030303031	28.421861700537306	MTMR1
phosphofructokinase activity (GO:0008443)	1/7	0.0927045097870444	0.4213656231104504	0	0	11.950303030303031	28.421861700537306	PFKP
extracellularly ATP-gated cation channel activity (GO:0004931)	1/7	0.0927045097870444	0.4213656231104504	0	0	11.950303030303031	28.421861700537306	P2RX1
ferric iron binding (GO:0008199)	1/7	0.0927045097870444	0.4213656231104504	0	0	11.950303030303031	28.421861700537306	ACP5
aminoacyl-tRNA ligase activity (GO:0004812)	2/38	0.09650868546233124	0.4213656231104504	0	0	3.991889699918897	9.333526206350381	RARS2;SARS1
N-acyltransferase activity (GO:0016410)	2/39	0.10083478918074437	0.4213656231104504	0	0	3.8838035115407377	8.910501075721612	NAT8L;NAA80
superoxide-generating NADPH oxidase activator activity (GO:0016176)	1/8	0.10522955036185379	0.4213656231104504	0	0	10.242597402597402	23.062346221118663	NOXA1
ATP-gated ion channel activity (GO:0035381)	1/8	0.10522955036185379	0.4213656231104504	0	0	10.242597402597402	23.062346221118663	P2RX1
U1 snRNA binding (GO:0030619)	1/8	0.10522955036185379	0.4213656231104504	0	0	10.242597402597402	23.062346221118663	SNRPA
cyclin-dependent protein serine/threonine kinase activator activity (GO:0061575)	1/8	0.10522955036185379	0.4213656231104504	0	0	10.242597402597402	23.062346221118663	CCNT1
estradiol 17-beta-dehydrogenase activity (GO:0004303)	1/8	0.10522955036185379	0.4213656231104504	0	0	10.242597402597402	23.062346221118663	DHRS11
procollagen-proline dioxygenase activity (GO:0019798)	1/8	0.10522955036185379	0.4213656231104504	0	0	10.242597402597402	23.062346221118663	P3H3
purine ribonucleoside triphosphate binding (GO:0035639)	10/460	0.10596719364086409	0.4213656231104504	0	0	1.6101921470342524	3.614278718207383	MAP4K1;TBCK;RRAGC;OAS1;MTREX;RHOV;ADSS2;RUNX3;CLPX;PFKP
