Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
spliceosomal snRNP complex (GO:0097525)	5/51	6.749501036722391E-4	0.14173952177117022	0	0	7.892668057115354	57.62335756847093	SF3A3;SNRNP200;SF3B1;SNRPA;LSM2
U2-type spliceosomal complex (GO:0005684)	6/89	0.0014593771173505182	0.15323459732180442	0	0	5.25863453815261	34.337545560014796	SF3A3;AQR;CDC5L;SNRNP200;SF3B1;LSM2
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	2/6	0.0027439320807874385	0.19207524565512069	0	0	35.98540145985402	212.25497207393838	CCNT1;CDK12
U2-type precatalytic spliceosome (GO:0071005)	4/50	0.004966029721377097	0.19998870387040132	0	0	6.290920716112532	33.37418120056961	SF3A3;SNRNP200;SF3B1;LSM2
P-body (GO:0000932)	5/80	0.004999508638362749	0.19998870387040132	0	0	4.83370233702337	25.610964079495762	PAN3;CNOT2;ZC3H12A;RC3H1;LSM2
precatalytic spliceosome (GO:0071011)	4/52	0.005713962967725752	0.19998870387040132	0	0	6.028186274509804	31.134632404268995	SF3A3;SNRNP200;SF3B1;LSM2
nuclear membrane (GO:0031965)	8/204	0.007566079159893596	0.22477100538667277	0	0	2.9741090466037163	14.525787375554394	NUP205;TMEM201;ALOX5;EPC1;NSMF;NUP153;UTP18;PUM2
specific granule membrane (GO:0035579)	5/91	0.008562704967111343	0.22477100538667277	0	0	4.213078177293401	20.05568093846734	SNAP25;P2RX1;STOM;ITGAL;SLC2A5
small-subunit processome (GO:0032040)	3/37	0.01429218476879812	0.3334843112719561	0	0	6.363930187459599	27.03424533555271	UTP6;NOL10;UTP18
RNA polymerase II, core complex (GO:0005665)	2/15	0.0176983320848066	0.3716649737809386	0	0	11.067377877596856	44.64895519232132	POLR2B;POLR2K
phagocytic vesicle membrane (GO:0030670)	3/45	0.02408915123165577	0.459883796240701	0	0	5.149659863945578	19.187600190631002	HLA-C;ATG12;VAMP3
U2 snRNP (GO:0005686)	2/20	0.030613367635590135	0.5201759052722158	0	0	7.991078669910786	27.85944551836786	SF3A3;SF3B1
Golgi-associated vesicle membrane (GO:0030660)	2/24	0.04290234053832627	0.5201759052722158	0	0	6.536828135368282	20.58335332432056	GOPC;PKD1
nucleus (GO:0005634)	74/4484	0.047727583402662775	0.5201759052722158	0	0	1.2721268045171865	3.870122402439515	GABPB2;USP38;CCNT1;DDX42;CELF4;CTCF;PRSS23;PKD1;CDC73;ZC3H12A;EPC1;CASP2;MTREX;MAP3K7;RNF111;MNX1;RFC5;AQR;SPHK2;METTL3;HUS1;RUNX3;UTP18;ILF3;ELF1;RRAGC;OAS1;DGKQ;ZNF517;XRN2;NSMF;SNRNP200;ZNF750;VCP;MYRF;CDCA5;LAGE3;SEC14L2;PSMB5;PSMB2;POLR2B;SMYD2;MCMBP;ZNF503;SF3B1;ZNF146;SAC3D1;POLR2K;SF3A3;PLK2;NONO;SIAH1;ZBTB10;LARP7;CDC5L;NUP153;INO80;MAPK12;LSM2;FER;TH;NASP;ZGLP1;FUBP1;PSMC1;CNOT2;ZNF219;UBA3;ZNF217;CDK12;OGT;TRMT61A;TJP3;PFKP
intracellular non-membrane-bounded organelle (GO:0043232)	23/1158	0.05097130646616576	0.5201759052722158	0	0	1.4889066880256308	4.431719475309489	SNAP25;UTP6;VCP;CCNT1;ODF3L2;CDCA5;NUP153;CTCF;RUNX3;UTP18;ABTB1;ILF3;DGKQ;ZC3H12A;XRN2;FRG1;STOM;NOL10;PNPLA5;MNX1;ZNF146;RAB3GAP1;SAC3D1
